№ статей;ID Код;Этап работ;ГПР;Отставание;Начало тендера;;;Дата заключения договора;;;Стоимость (руб.);;;Контрагент;Договор;Статус;Комментарий к отклонениям
14;2.05.14.1;Работа 14;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
15;2.05.15.1;Работа 15;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
16;2.05.16.1;Работа 16;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
17;2.05.17.1;Работа 17;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
18;2.05.18.1;Работа 18;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
19;2.05.19.1;Работа 19;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
20;2.05.20.1;Работа 20;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
21;2.05.21.1;Работа 21;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
22;2.05.22.1;Работа 22;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
23;2.05.23.1;Работа 23;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
24;2.05.24.1;Работа 24;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
25;2.05.25.1;Работа 25;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
26;2.05.26.1;Работа 26;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
27;2.05.27.1;Работа 27;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
28;2.05.28.1;Работа 28;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
29;2.05.29.1;Работа 29;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
30;2.05.30.1;Работа 30;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
31;2.05.31.1;Работа 31;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
32;2.05.32.1;Работа 32;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
33;2.05.33.1;Работа 33;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
34;2.05.34.1;Работа 34;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
35;2.05.35.1;Работа 35;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
36;2.05.36.1;Работа 36;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
37;2.05.37.1;Работа 37;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
38;2.05.38.1;Работа 38;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
39;2.05.39.1;Работа 39;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
40;2.05.40.1;Работа 40;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
41;2.05.41.1;Работа 41;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
42;2.05.42.1;Работа 42;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
43;2.05.43.1;Работа 43;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
44;2.05.44.1;Работа 44;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
45;2.05.45.1;Работа 45;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
46;2.05.46.1;Работа 46;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
47;2.05.47.1;Работа 47;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
48;2.05.48.1;Работа 48;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
49;2.05.49.1;Работа 49;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
50;2.05.50.1;Работа 50;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
51;2.05.51.1;Работа 51;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
52;2.05.52.1;Работа 52;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
53;2.05.53.1;Работа 53;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
54;2.05.54.1;Работа 54;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
55;2.05.55.1;Работа 55;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
56;2.05.56.1;Работа 56;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
57;2.05.57.1;Работа 57;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
58;2.05.58.1;Работа 58;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
59;2.05.59.1;Работа 59;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
60;2.05.60.1;Работа 60;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
61;2.05.61.1;Работа 61;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
62;2.05.62.1;Работа 62;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
63;2.05.63.1;Работа 63;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
64;2.05.64.1;Работа 64;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
65;2.05.65.1;Работа 65;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
66;2.05.66.1;Работа 66;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
67;2.05.67.1;Работа 67;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
68;2.05.68.1;Работа 68;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
69;2.05.69.1;Работа 69;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
70;2.05.70.1;Работа 70;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
71;2.05.71.1;Работа 71;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
72;2.05.72.1;Работа 72;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
73;2.05.73.1;Работа 73;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
74;2.05.74.1;Работа 74;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
75;2.05.75.1;Работа 75;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
76;2.05.76.1;Работа 76;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
77;2.05.77.1;Работа 77;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
78;2.05.78.1;Работа 78;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
79;2.05.79.1;Работа 79;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
80;2.05.80.1;Работа 80;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
81;2.05.81.1;Работа 81;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
82;2.05.82.1;Работа 82;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
83;2.05.83.1;Работа 83;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
84;2.05.84.1;Работа 84;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
85;2.05.85.1;Работа 85;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
86;2.05.86.1;Работа 86;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
87;2.05.87.1;Работа 87;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
88;2.05.88.1;Работа 88;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
89;2.05.89.1;Работа 89;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
90;2.05.90.1;Работа 90;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
91;2.05.91.1;Работа 91;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
92;2.05.92.1;Работа 92;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
93;2.05.93.1;Работа 93;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
94;2.05.94.1;Работа 94;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
95;2.05.95.1;Работа 95;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
96;2.05.96.1;Работа 96;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
97;2.05.97.1;Работа 97;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
98;2.05.98.1;Работа 98;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
99;2.05.99.1;Работа 99;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
100;2.05.100.1;Работа 100;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
101;2.05.101.1;Работа 101;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
102;2.05.102.1;Работа 102;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
103;2.05.103.1;Работа 103;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
104;2.05.104.1;Работа 104;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
105;2.05.105.1;Работа 105;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
106;2.05.106.1;Работа 106;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
107;2.05.107.1;Работа 107;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
108;2.05.108.1;Работа 108;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
109;2.05.109.1;Работа 109;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
110;2.05.110.1;Работа 110;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
111;2.05.111.1;Работа 111;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
112;2.05.112.1;Работа 112;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
113;2.05.113.1;Работа 113;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
114;2.05.114.1;Работа 114;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
115;2.05.115.1;Работа 115;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
116;2.05.116.1;Работа 116;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
117;2.05.117.1;Работа 117;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
118;2.05.118.1;Работа 118;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
119;2.05.119.1;Работа 119;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
120;2.05.120.1;Работа 120;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
121;2.05.121.1;Работа 121;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
122;2.05.122.1;Работа 122;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
123;2.05.123.1;Работа 123;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
124;2.05.124.1;Работа 124;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
125;2.05.125.1;Работа 125;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
126;2.05.126.1;Работа 126;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
127;2.05.127.1;Работа 127;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
128;2.05.128.1;Работа 128;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
129;2.05.129.1;Работа 129;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
130;2.05.130.1;Работа 130;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
131;2.05.131.1;Работа 131;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
132;2.05.132.1;Работа 132;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
133;2.05.133.1;Работа 133;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
134;2.05.134.1;Работа 134;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
135;2.05.135.1;Работа 135;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
136;2.05.136.1;Работа 136;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
137;2.05.137.1;Работа 137;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
138;2.05.138.1;Работа 138;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
139;2.05.139.1;Работа 139;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
140;2.05.140.1;Работа 140;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
141;2.05.141.1;Работа 141;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
142;2.05.142.1;Работа 142;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
143;2.05.143.1;Работа 143;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
144;2.05.144.1;Работа 144;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
145;2.05.145.1;Работа 145;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
146;2.05.146.1;Работа 146;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
147;2.05.147.1;Работа 147;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
148;2.05.148.1;Работа 148;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
149;2.05.149.1;Работа 149;;;;02.04.2026;05.04.2026;1;01.06.2026;10.06.2026;9;23513403;23000000;ООО;;В работе;
